fecha, precio,mercado
01/01/2010,14.84,Mercado de Abastos de Guadalajara
01/02/2010,15.00,Mercado de Abastos de Guadalajara
01/03/2010,17.10,Mercado de Abastos de Guadalajara
01/04/2010,20.66,Mercado de Abastos de Guadalajara
01/05/2010,22.76,Mercado de Abastos de Guadalajara
01/06/2010,24.76,Mercado de Abastos de Guadalajara
01/07/2010,27.89,Mercado de Abastos de Guadalajara
01/08/2010,27.57,Mercado de Abastos de Guadalajara
01/09/2010,24.33,Mercado de Abastos de Guadalajara
01/10/2010,21.00,Mercado de Abastos de Guadalajara
01/11/2010,18.60,Mercado de Abastos de Guadalajara
01/12/2010,18.00,Mercado de Abastos de Guadalajara
01/01/2011,19.38,Mercado de Abastos de Guadalajara
01/02/2011,20.32,Mercado de Abastos de Guadalajara
01/03/2011,28.50,Mercado de Abastos de Guadalajara
01/04/2011,33.00,Mercado de Abastos de Guadalajara
01/05/2011,37.05,Mercado de Abastos de Guadalajara
01/06/2011,40.14,Mercado de Abastos de Guadalajara
01/07/2011,46.00,Mercado de Abastos de Guadalajara
01/08/2011,35.18,Mercado de Abastos de Guadalajara
01/09/2011,22.25,Mercado de Abastos de Guadalajara
01/10/2011,16.06,Mercado de Abastos de Guadalajara
01/11/2011,16.00,Mercado de Abastos de Guadalajara
01/12/2011,15.61,Mercado de Abastos de Guadalajara
01/01/2012,15.00,Mercado de Abastos de Guadalajara
01/02/2012,16.13,Mercado de Abastos de Guadalajara
01/03/2012,19.32,Mercado de Abastos de Guadalajara
01/04/2012,22.53,Mercado de Abastos de Guadalajara
01/05/2012,24.35,Mercado de Abastos de Guadalajara
01/06/2012,28.89,Mercado de Abastos de Guadalajara
01/07/2012,29.05,Mercado de Abastos de Guadalajara
01/08/2012,28.59,Mercado de Abastos de Guadalajara
01/09/2012,20.29,Mercado de Abastos de Guadalajara
01/10/2012,18.06,Mercado de Abastos de Guadalajara
01/11/2012,17.04,Mercado de Abastos de Guadalajara
01/12/2012,15.26,Mercado de Abastos de Guadalajara
01/01/2013,14.59,Mercado de Abastos de Guadalajara
01/02/2013,15.00,Mercado de Abastos de Guadalajara
01/03/2013,16.08,Mercado de Abastos de Guadalajara
01/04/2013,23.68,Mercado de Abastos de Guadalajara
01/05/2013,25.38,Mercado de Abastos de Guadalajara
01/06/2013,33.80,Mercado de Abastos de Guadalajara
01/07/2013,37.61,Mercado de Abastos de Guadalajara
01/08/2013,39.00,Mercado de Abastos de Guadalajara
01/09/2013,27.55,Mercado de Abastos de Guadalajara
01/10/2013,23.78,Mercado de Abastos de Guadalajara
01/11/2013,23.00,Mercado de Abastos de Guadalajara
01/12/2013,23.00,Mercado de Abastos de Guadalajara
01/01/2014,23.61,Mercado de Abastos de Guadalajara
01/02/2014,23.89,Mercado de Abastos de Guadalajara
01/03/2014,27.45,Mercado de Abastos de Guadalajara
01/04/2014,35.86,Mercado de Abastos de Guadalajara
01/05/2014,37.78,Mercado de Abastos de Guadalajara
01/06/2014,34.47,Mercado de Abastos de Guadalajara
01/07/2014,30.61,Mercado de Abastos de Guadalajara
01/08/2014,28.43,Mercado de Abastos de Guadalajara
01/09/2014,24.52,Mercado de Abastos de Guadalajara
